"","abs2","B2","Mancel2","Italiani2"
"abs",NA,NA,NA,NA
"BN",NA,NA,NA,NA
"Mancel",NA,NA,NA,NA
"Ripart",NA,NA,NA,NA
"Lesaege",NA,NA,NA,NA
"Ramel",NA,NA,NA,NA
"Potchtovik",NA,NA,NA,NA
"Houssin",NA,NA,NA,NA
"Italiani",NA,NA,NA,NA
