"","Abstention","BN","Mancel","Italiani","Voix"
"abs","93%","1%","2%","4%","7817"
"BN","17%","24%","22%","36%","105"
"Mancel","3%","3%","92%","3%","1476"
"Ripart","21%","41%","18%","20%","238"
"Lesaege","23%","34%","17%","26%","80"
"Ramel","26%","18%","28%","29%","73"
"Potchtovik","21%","20%","27%","32%","58"
"Houssin","10%","17%","25%","48%","675"
"Italiani","3%","4%","4%","89%","997"
"Voix","7516","414","1829","1760","11519"
